Subgenre,Mean purity,N
Hip-Hop,0.404,131
Folk,0.346,116
International,0.319,48
Europe,0.319,8
Soundtrack,0.263,102
Reggae - Dub,0.244,31
Rock,0.221,54
Chiptune,0.209,11
Field Recordings,0.196,13
Latin America,0.188,13
Electronic,0.176,79
Pop,0.171,86
Balkan,0.164,11
Metal,0.15,10
Experimental Pop,0.11,52
Instrumental,0.107,22
Punk,0.091,17
Avant-Garde,0.073,32
House,0.061,9
Audio Collage,0.061,9
Experimental,0.055,43
Noise,0.045,21
Ambient,0.044,16
New Age,0.044,9
Psych-Folk,0.041,11
Singer-Songwriter,0.041,17
Ambient Electronic,0.032,14
Indie-Rock,0.032,14
Synth Pop,0.032,11
Post-Rock,0.02,10
Psych-Rock,0.006,8
