,official,classifier,neighbour_vote,cluster
5,Soundtrack,Electronic,Electronic,0
14,Instrumental,Pop,Pop,0
21,Reggae - Dub,Hip-Hop,Hip-Hop,0
25,Avant-Garde,Experimental,Experimental,0
29,Pop,Soundtrack,Soundtrack,0
32,Singer-Songwriter,Folk,Folk,0
53,Noise,Electronic,Electronic,0
59,Electronic,Hip-Hop,Hip-Hop,0
65,Psych-Folk,Soundtrack,Soundtrack,0
67,Indie-Rock,Pop,Pop,0
70,Instrumental,Soundtrack,Soundtrack,0
73,Singer-Songwriter,Folk,Folk,0
77,Post-Rock,Metal,Metal,0
78,Electronic,Hip-Hop,Hip-Hop,0
98,International,Hip-Hop,Hip-Hop,0
110,Metal,Rock,Rock,0
111,Soundtrack,Experimental Pop,Experimental Pop,0
114,Instrumental,Soundtrack,Soundtrack,0
115,Electronic,Rock,Rock,0
116,Folk,Pop,Pop,0
118,House,Hip-Hop,Hip-Hop,0
120,Soundtrack,Folk,Folk,0
121,Experimental Pop,Folk,Folk,0
124,Pop,Folk,Folk,0
125,Latin America,International,International,0
127,Folk,Soundtrack,Soundtrack,0
128,Experimental,Hip-Hop,Hip-Hop,0
138,Experimental Pop,Hip-Hop,Hip-Hop,0
140,Psych-Folk,Pop,Pop,0
168,Folk,Hip-Hop,Hip-Hop,0
174,Electronic,Hip-Hop,Hip-Hop,0
175,Experimental Pop,Folk,Folk,0
178,Soundtrack,Hip-Hop,Hip-Hop,0
185,Avant-Garde,Soundtrack,Soundtrack,0
196,Soundtrack,Rock,Rock,0
201,New Age,Folk,Folk,0
209,Electronic,Hip-Hop,Hip-Hop,0
211,Pop,Folk,Folk,0
212,Electronic,Reggae - Dub,Reggae - Dub,0
217,Electronic,Hip-Hop,Hip-Hop,0
224,Experimental Pop,Hip-Hop,Hip-Hop,0
231,Electronic,Hip-Hop,Hip-Hop,0
235,Hip-Hop,Electronic,Electronic,0
238,Psych-Folk,Pop,Pop,0
243,Electronic,Soundtrack,Soundtrack,0
267,Electronic,Hip-Hop,Hip-Hop,0
269,Psych-Rock,International,International,0
273,Ambient,Folk,Folk,0
282,Punk,Rock,Rock,0
292,Experimental Pop,Pop,Pop,0
299,Rock,Pop,Pop,0
303,Experimental,Pop,Pop,0
304,Experimental,Soundtrack,Soundtrack,0
306,Avant-Garde,Hip-Hop,Hip-Hop,0
311,Pop,Hip-Hop,Hip-Hop,0
334,International,Folk,Folk,0
339,Instrumental,Latin America,Latin America,0
344,Synth Pop,Experimental Pop,Experimental Pop,0
347,Chiptune,Electronic,Electronic,0
348,International,Pop,Pop,0
351,Audio Collage,Hip-Hop,Hip-Hop,0
353,Soundtrack,Pop,Pop,0
360,Pop,Rock,Rock,0
364,Ambient,Folk,Folk,0
365,Ambient,Soundtrack,Soundtrack,0
367,Balkan,International,International,0
369,House,Hip-Hop,Hip-Hop,0
381,Noise,Electronic,Electronic,0
386,International,Hip-Hop,Hip-Hop,0
390,Psych-Rock,Rock,Rock,0
393,Rock,Pop,Pop,0
402,Electronic,Hip-Hop,Hip-Hop,0
405,Singer-Songwriter,Hip-Hop,Hip-Hop,0
410,New Age,Hip-Hop,Hip-Hop,0
411,Synth Pop,Rock,Rock,0
416,Electronic,Hip-Hop,Hip-Hop,0
420,Experimental,Folk,Folk,0
422,Soundtrack,Folk,Folk,0
424,Noise,Electronic,Electronic,0
429,Electronic,Hip-Hop,Hip-Hop,0
443,Ambient,Soundtrack,Soundtrack,0
445,Chiptune,Electronic,Electronic,0
448,International,Folk,Folk,0
449,Pop,Hip-Hop,Hip-Hop,0
453,Folk,Balkan,Balkan,0
460,Experimental Pop,Electronic,Electronic,0
